"HHID","APCode","a6cq2","a6cq3a","a6cq3b","a6cq3c","a6cq3d","a6cq3e","a6cq4a","a6cq4b","a6cq4c","a6cq5a","a6cq5b","a6cq5c","a6cq6","a6cq7","a6cq8","a6cq9","a6cq10","a6cq11","a6cq12","a6cq13a","a6cq13b","a6cq14a","a6cq14b","a6cq15","a6cq15b","a6cq15c","a6cq16","hh","wgt_X"
46040401,24,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04604-04-01",2792.466796875
46040401,25,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04604-04-01",2792.466796875
46040401,26,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04604-04-01",2792.466796875
46040401,27,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04604-04-01",2792.466796875
46070401,23,1,17,4607002,4607004,4607006,4607004,0,,,0,,,8,12,0,0,0,0,0,0,,3,20000,0,1,4,1,"H04607-04-01",2792.466796875
46070401,24,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04607-04-01",2792.466796875
46070401,25,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04607-04-01",2792.466796875
46070401,26,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04607-04-01",2792.466796875
46070401,27,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04607-04-01",2792.466796875
46080401,23,1,4,4608001,4608002,4608001,4608002,0,,,0,,,4,10,0,0,0,10,0,0,,0,,0,1,1,1,"H04608-04-01",2792.466796875
46080401,24,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04608-04-01",2792.466796875
46080401,25,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04608-04-01",2792.466796875
46080401,26,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04608-04-01",2792.466796875
46080401,27,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04608-04-01",2792.466796875
46090401,23,1,8,4609003,,4609003,4609007,0,,,0,,,5,5,0,0,0,0,0,0,,0,,2,1,3,1,"H04609-04-01",2792.466796875
46090401,24,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04609-04-01",2792.466796875
46090401,25,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04609-04-01",2792.466796875
46090401,26,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04609-04-01",2792.466796875
46090401,27,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04609-04-01",2792.466796875
46100403,23,1,3,4610003,,4610003,,0,,,0,,,3,10,0,0,0,0,10,0,,0,,0,1,1,1,"H04610-04-03",930.822265625
46100403,24,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04610-04-03",930.822265625
46100403,25,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04610-04-03",930.822265625
46100403,26,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04610-04-03",930.822265625
46100403,27,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04610-04-03",930.822265625
48020402,23,1,7,4802004,,4802004,,0,,,0,,,5,10,0,0,0,0,8,0,,0,,0,1,6,1,"H04802-04-02",930.822265625
