"HHID","h12q1","h12q2","h12q3a","h12q3b","h12q4","h12qNew","h12q4a","h12q4b","h12q4c","h12q4d","h12q4e","h12q6a","h12q6b","h12q7","h12q8","h12q8a","h12q8b","h12q9","h12q10","h12q11a","h12q11b","h12q11c","h12q11d","h12q11e","h12q12","h12q12a","h12q13","h12q14","h12q15","h12q16","h12q17","h12q18","h12q19","_merge"
"H36708-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H36709-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H36710-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H36801-04-01",1,"P36801-001",1,"FISHERMAN",4759,1,1,,,"P36801-001",,99,1997,7,2,"P36801-001",,2,,"P36801-001",,,,,12,,150000,0,0,45000,33000,2,2,3
"H36802-04-01",1,"P36802-002",2,"serving of bakery products",4773,1,1,,,"P36802-002",,8,2013,1,2,"P36802-002",,1,96,"P36802-002","P36802-003","P36802-004",,,3,1,105000,0,0,78000,0,2,2,3
"H36802-04-01",1,"P36802-002",1,"FISHING AND SELLING FISH",4620,1,1,,,"P36802-001",,99,2000,7,2,"P36802-001",,2,,"P36802-001",,,,,12,,135000,0,0,40000,7000,2,2,3
"H36803-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H36804-04-01",1,"P36804-001",1,"Retail sale of fish",4781,1,1,,,"P36804-001",,99,2011,4,2,"P36804-001",,2,,"P36804-001",,,,,12,,150000,0,0,90000,0,2,2,3
"H36805-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H36806-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H36807-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H36809-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H36810-04-01",1,"P36810-002",1,"retailsale papyrus mats",4312,1,1,,,"P36810-002",,,2007,2,1,"P36810-001",,2,,"P36810-002",,,,,7,1,15000,0,0,0,0,2,2,3
"H36901-04-01",1,"P36901-001",1,"manufacturing of furniture",4781,1,1,,,"P36901-001",,99,1960,7,2,"P36901-001","P36901-002",2,,"P36901-001",,,,,12,,3550000,1,80000,220000,30000,2,2,3
"H36901-04-01",1,"P36901-001",2,"retail sale of matooke on a stall",4922,1,1,,,"P36901-002","P36901-001",11,2012,2,2,"P36901-002","P36901-001",2,,"P36901-002",,,,,12,,675000,0,0,80000,180000,2,2,3
"H36902-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H36903-04-01",1,"P36903-001",1,"tailoring of clothes",4781,1,1,,,"P36903-001",,5,1990,1,2,"P36903-001",,2,,"P36903-001",,,,,9,1,320000,0,0,60000,34000,2,2,3
"H36903-04-01",1,"P36903-001",2,"retail sale of fish",4799,1,1,,,"P36903-001",,99,2010,7,2,"P36903-001",,2,,"P36903-001",,,,,12,,800000,2,260000,120000,60000,2,2,3
"H36904-04-01",1,"P36904-002",2,"retail sale of food stuff in the market",4719,1,1,,,"P36904-001",,99,2008,4,2,"P36904-001",,2,,"P36904-001",,,,,6,1,300000,0,0,100000,0,8,8,3
"H36904-04-01",1,"P36904-002",1,"wholesale of fish",4781,1,1,,,"P36904-002",,12,2000,4,2,"P36904-002",,2,,"P36904-002",,,,,12,,1000000,2,300000,0,0,1,2,3
"H36905-04-01",1,"P36905-002",1,"RETAIL SALE OF FISH",4722,1,1,,,"P36905-001",,6,2007,3,2,"P36905-001",,1,7,"P36905-001",,,,,10,1,300000,1,150000,40000,0,8,2,3
"H36906-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H36907-04-01",1,"P36907-002",1,"RETAIL SALE OF JACK FRUIT",8522,1,1,,,"P36907-001",,99,2000,7,2,"P36907-001",,2,,"P36907-001",,,,,12,,120000,0,0,42000,2000,2,2,3
"H36908-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H36909-04-01",1,"P36909-001",1,"fresh water fishing",3100,1,1,,,"P36909-001",,8,2008,8,1,"P36909-001",,2,,"P36909-001",,,,,12,,600000,0,0,30000,60000,2,2,3
"H36910-04-01",1,"P36910-001",1,"FRESH WATER FISHING",7420,1,1,,,"P36910-001",,99,2007,8,2,"P36910-001",,2,,"P36910-001",,,,,12,,1500000,2,600000,100000,60000,2,2,3
"H36910-04-01",1,"P36910-001",2,"phone charging",4759,1,1,,,"P36910-002",,5,2014,1,1,"P36910-002",,2,,"P36910-002","P36910-001",,,,2,1,20000,0,0,0,0,2,2,3
"H37001-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37002-04-01",1,"P37002-001",1,"serving alcohollic drinks",4781,1,1,,,"P37002-001",,99,2008,2,2,"P37002-001",,1,7,"P37002-001",,,,,12,,600000,0,0,240000,10000,2,2,3
"H37003-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37004-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37005-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37006-04-01",1,"P37006-002",2,"RETAIL SALE OF GENERAL MERCHANDISE",9602,1,1,,,"P37006-001","P37006-002",99,2003,7,2,"P37006-001","P37006-002",2,,"P37006-001","P37006-002",,,,12,,1200000,0,0,200000,300000,2,2,3
"H37006-04-01",1,"P37006-002",1,"PHOTOGRAPHY AND VIDEO COVERAGE",1410,1,1,,,"P37006-001",,99,1999,8,2,"P37006-001","P37006-002",1,,"P37006-001","P37006-002",,,,12,,2200000,1,60000,0,500000,2,2,3
"H37007-04-01",1,"P37007-001",1,"DISTILLING WARAGI",4781,1,1,,,"P37007-001",,99,1979,2,2,"P37007-001",,2,,"P37007-001",,,,,9,1,150000,0,0,50000,28000,2,2,3
"H37008-04-01",1,"P37008-001",1,"making alcohol",1101,1,1,,,"P37008-001",,8,1997,2,2,"P37008-001",,1,7,"P37008-001",,,,,12,,420000,0,0,120000,0,2,2,3
"H37009-04-01",1,"P37009-002",1,"transporting sugarcane",4781,1,1,,,"P37009-002",,8,2008,8,2,"P37009-002",,2,,"P37009-002","P37009-014",,,,8,1,6000000,2,600000,0,1600000,2,2,3
"H37010-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37101-04-01",1,"P37101-001",1,"making and selling local brew",1103,1,1,,,"P37101-001",,99,1980,1,1,"P37101-001",,2,,"P37101-001",,,,,10,1,30000,0,0,10000,0,2,2,3
"H37102-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37103-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37104-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37105-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37106-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37107-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37108-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37109-04-01",1,"P37109-001",1,"retail sale of fish",4799,1,1,,,"P37109-001",,99,2007,7,2,"P37109-001",,2,,"P37109-001",,,,,12,,100000,0,3000,80000,2000,2,1,3
"H37110-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37201-04-01",1,"P37201-002",1,"Buys and sells bananas",4799,1,1,,,"P37201-001",,99,1986,4,2,"P37201-001","P37201-002",2,,"P37201-001",,,,,4,1,150000,0,0,100000,0,2,2,3
"H37202-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37203-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37204-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37205-04-01",1,"P37205-002",1,"Retail sale of vegetables like tomatoes, onions",4799,1,1,,,"P37205-002","P37205-001",7,2003,6,2,"P37205-002","P37205-001",2,,"P37205-002","P37205-001",,,"P37205-002",9,1,35000,0,0,20000,0,2,2,3
"H37206-04-01",1,"P37206-001",1,"Buys and sells sweet Bananas",4789,1,1,,,"P37206-001",,1,2006,4,2,"P37206-001","P37206-002",2,,"P37206-001",,,,,4,1,60000,0,0,50000,0,2,2,3
"H37207-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37208-04-01",1,"P37208-001",1,"Brewing alcohol",4630,1,1,,,"P37208-001",,6,2004,1,1,"P37208-001","P37208-009",1,7,"P37208-001",,,,,12,,800000,0,0,400000,10000,2,2,3
"H37209-04-01",1,"P37209-001",1,"Retail Shop",4719,1,1,,,"P37209-001","P37209-002",1,1998,1,2,"P37209-001","P37209-002",2,,"P37209-001","P37209-002","P37209-003","P37209-004","P37209-005",12,,300000,0,0,200000,20000,2,2,3
"H37210-04-01",1,"P37210-001",1,"Carpenter",1622,1,1,,,"P37210-001","P37210-002",1,2003,1,2,"P37210-001","P37210-002",2,,"P37210-001",,,,,12,,220000,0,0,70000,0,2,2,3
"H37301-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37302-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37303-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37304-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37305-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37306-04-01",1,"P37306-001",1,"brewing malwa",1103,1,1,,,"P37306-001","P37306-002",10,2011,2,2,"P37306-001","P37306-002",1,2,"P37306-001","P37306-002",,,,12,,270000,0,210000,0,0,2,2,3
"H37307-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37308-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37309-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37310-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37401-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37402-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37403-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37404-04-01",1,"P37404-002",1,"Sells Agricultural Produce",4620,1,1,,,"P37404-001",,99,2000,3,2,"P37404-001","P37404-002",2,,"P37404-001",,,,,12,,1000000,3,800000,200000,20000,2,2,3
"H37405-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37406-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37407-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37408-04-01",1,"P37408-001",1,"Transporting Goods for people for pay",5221,1,1,,,"P37408-001",,6,2006,8,2,"P37408-001",,2,,"P37408-001",,,,,12,,80000,0,0,0,0,2,2,3
"H37409-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37410-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37501-04-01",1,"P37501-002",1,"Selling local brew(waragi). Household bar",4722,1,1,,,"P37501-002","P37501-001",1,2003,1,2,"P37501-002","P37501-001",2,,"P37501-002","P37501-001",,,,12,,210000,0,0,10000,6000,2,2,3
"H37502-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37503-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37504-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37505-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37506-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37507-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37508-04-01",1,"P37508-016",1,"Treats Animals",7500,1,1,,,"P37508-016",,1,2005,8,2,"P37508-016",,2,,"P37508-016",,,,,10,1,600000,0,0,300000,30000,2,2,3
"H37509-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37510-04-01",1,"P37510-002",1,"sells meat at a butchery",4721,1,1,,,"P37510-001",,12,2009,3,2,"P37510-001","P37510-002",1,1,"P37510-001",,,,,12,,1280000,0,0,800000,10000,2,8,3
"H37601-04-01",1,"P37601-002",1,"household retail shop",4719,1,1,,,"P37601-002","P37601-001",7,2008,1,5,"P37601-001",,2,,"P37601-002","P37601-001",,,,12,,280000,0,0,250000,20000,2,1,3
"H37602-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37603-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37604-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37605-04-01",1,"P37605-002",1,"PHONE CHARGING SHOP",9609,1,1,,,"P37605-002",,7,2013,7,2,"P37605-002",,2,,"P37605-002",,,,,2,1,150000,0,0,20000,0,2,2,3
"H37606-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37607-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37608-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37609-04-01",1,"P37609-001",1,"Sale of own produced goods",4789,1,1,,,"P37609-001",,1,2011,4,1,"P37609-001",,2,,"P37609-001",,,,,12,,200000,0,0,60000,0,2,2,3
"H37610-04-01",1,"P37610-002",1,"Grinding Mill",1061,1,1,,,"P37610-001","P37610-003",11,2006,6,2,"P37610-001",,2,,"P37610-001","P37610-003",,,,12,,250000,1,15000,0,100000,2,2,3
"H37701-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37702-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37703-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37704-04-01",1,"P37704-001",1,"wholesale of agriculture produce",4781,1,1,,,"P37704-001",,9,2012,5,8,"P37704-001",,2,,"P37704-001",,,,,1,1,2400000,1,300000,1200000,20000,2,2,3
"H37705-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37706-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37707-04-01",1,"P37707-002",1,"WEAVING AND SELLING MATS",1410,1,1,,,"P37707-002",,11,1982,1,2,"P37707-002",,2,,"P37707-002",,,,,12,,15000,0,0,3000,0,2,2,3
"H37708-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37709-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37710-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37801-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37802-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37803-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37804-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37805-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37806-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37807-04-01",1,"P37807-002",1,"Selling agric produce passion fruits and coffee",4799,1,1,,,"P37807-001",,99,2001,8,2,"P37807-001","P37807-002",2,,"P37807-001",,,,,3,1,1000000,0,0,150000,80000,2,2,3
"H37807-04-01",1,"P37807-002",2,"buying and selling matooke",4789,1,1,,,"P37807-002","P37807-002",4,2013,4,5,"P37807-002","P37807-001",1,9,"P37807-002",,,,,11,1,300000,0,0,60000,40000,2,2,3
"H37808-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37809-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37810-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37901-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37902-04-01",1,"P37902-001",1,"making and selling mandazi",4789,1,1,,,"P37902-001","P37902-002",1,2003,6,2,"P37902-001",,2,,"P37902-001","P37902-002",,,,12,,210000,0,0,20000,100000,2,2,3
"H37903-04-01",1,"P37903-001",1,"produces charcoal for salr",,1,1,,,"P37903-001",,2,2010,8,2,"P37903-001",,1,7,"P37903-001",,,,,12,,100000,2,20000,30000,0,2,2,3
"H37905-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37906-04-01",1,"P37906-001",2,"Retail sale of Bongo (Yogurt)",4722,1,1,,,"P37906-002","P37906-001",2,2014,7,2,"P37906-002","P37906-001",2,,"P37906-002",,,,,7,1,26000,0,0,20400,0,2,2,3
"H37906-04-01",1,"P37906-001",1,"Retail sale of local brew(Waragi)",4722,1,1,,,"P37906-001",,1,2000,7,2,"P37906-001",,2,,"P37906-001",,,,,12,,70000,0,0,30000,2000,2,2,3
"H37907-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37908-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H37909-04-01",1,"P37909-001",1,"Making of Back-cloth",1629,1,1,,,"P37909-001",,5,1990,1,2,"P37909-001",,2,,"P37909-001",,,,,12,,8000,0,0,5000,0,2,2,3
"H37910-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H38001-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H38002-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H38003-04-01",1,"P38003-001",1,"Cooking Food for Sale in the Market",5610,1,1,,,"P38003-001",,2,2009,4,2,"P38003-001",,2,,"P38003-001",,,,,12,,41200,0,0,31000,0,2,2,3
"H38004-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H38006-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H38007-04-01",1,"P38007-001",1,"Buysvand Sells Cattle",,1,1,,,"P38007-001",,99,1984,3,2,"P38007-001",,2,,"P38007-001",,,,,8,2,500000,0,0,0,0,2,2,3
"H38008-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H38009-04-01",1,"P38009-001",1,"Selling Cattle",,1,1,,,"P38009-001",,2,1992,4,2,"P38009-001","P38009-002",2,,"P38009-001",,,,,7,2,1420000,0,0,1000000,202000,2,2,3
"H38010-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H38101-04-01",1,"P38101-002",1,"Retail shop of general merchandise",4719,1,1,,,"P38101-002","P38101-005",5,2013,1,2,"P38101-002","P38101-001",1,9,"P38101-002","P38101-005","P38101-004",,,8,1,100000,0,0,70000,0,2,2,3
"H38102-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H38103-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H38104-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H38105-04-01",1,"P38105-001",1,"Retail shop",4719,1,1,,,"P38105-001",,7,2012,5,3,"P38105-001",,1,1,"P38105-001",,,,,12,,400000,0,0,300000,38600,2,1,3
"H38106-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H38107-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H38108-04-01",1,"P38108-002",1,"Buy & Sale of Sweet bananas",4789,1,1,,,"P38108-002",,6,2010,4,2,"P38108-002","P38108-001",2,,"P38108-002",,,,,12,,28000,0,0,14000,0,2,2,3
"H38109-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H38110-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H38201-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H38202-04-01",1,"P38202-001",1,"RETAIL SALE VIA STALLS & MARKETS",4520,1,1,,,"P38202-001",,3,2008,4,2,"P38202-001","P38202-002",2,,"P38202-001",,,,,12,,850000,1,504000,216000,0,2,2,3
"H38203-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H38204-04-01",1,"P38204-001",1,"RESTAURANT ACTIVITIES",4719,1,1,,,"P38204-001","P38204-001",6,2011,2,2,"P38204-001","P38204-002",2,,"P38204-001",,,,,12,,450000,1,40000,160000,0,2,2,3
"H38205-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H38206-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H38207-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H38208-04-01",1,"P38208-002",2,"milling cassava",3211,1,1,,,"P38208-002",,99,2009,6,2,"P38208-002",,2,,"P38208-002",,,,"P38208-001",8,2,450000,1,70000,0,90000,2,2,3
"H38208-04-01",1,"P38208-002",1,"tailoring of clothes",8690,1,1,,,"P38208-001",,3,2008,1,2,"P38208-001",,2,,"P38208-001",,,,,10,1,60000,0,0,5000,0,2,2,3
"H38209-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H38210-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H38301-04-01",1,"P38301-001",1,"SELLS CATTLE",5230,1,1,,,"P38301-001",,1,2014,4,2,"P38301-001",,2,,"P38301-001",,,,,0,1,800000,2,80000,0,0,1,2,3
"H38302-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H38303-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H38304-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H38305-04-01",1,"P38305-002",1,"bewing",1103,1,1,,,"P38305-002",,6,2012,4,8,"P38305-002",,2,,"P38305-002",,,,,4,1,30000,0,0,10000,0,2,2,3
"H38308-04-01",1,"P38308-001",1,"Brewing local waragi",1101,1,1,,,"P38308-001",,7,2000,1,2,"P38308-001",,2,,"P38308-001",,,,,10,1,105000,0,0,70000,5000,2,2,3
"H38309-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H38310-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H38401-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H38402-04-01",1,"P38402-001",1,"BICYCLE REPAIRING",3315,1,1,,,"P38402-001",,2,1976,2,1,"P38402-001",,2,,"P38402-001",,,,,12,,5000,0,0,2000,0,2,2,3
"H38403-04-01",1,"P38403-001",2,"Sewing clothes",1410,1,1,,,"P38403-002",,12,2012,6,2,"P38403-002",,2,,"P38403-002",,,,,12,,90000,0,0,20000,6000,2,2,3
"H38403-04-01",1,"P38403-001",1,"Bar sales",5630,1,1,,,"P38403-001","P38403-002",9,2013,6,2,"P38403-001","P38403-002",2,,"P38403-001","P38403-002",,,,5,1,280000,0,0,165000,15000,2,2,3
"H38404-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H38405-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H38406-04-01",1,"P38406-001",1,"BREWS AND SELLS ALCOHOL",1101,1,1,,,"P38406-001",,4,2010,1,2,"P38406-001",,2,,"P38406-001",,,,,12,,200000,0,0,70000,0,2,2,3
"H38407-04-01",1,"P38407-002",1,"Distilling local waragy",1101,1,1,,,"P38407-002",,2,1977,1,2,"P38407-002",,1,7,"P38407-002",,,,,8,1,70000,0,0,40000,2800,2,2,3
"H38408-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H38409-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H38410-04-01",1,"P38410-001",1,"Brews and sells alcohol",1101,1,1,,,"P38410-002",,99,2011,1,2,"P38410-002",,2,,"P38410-002",,,,,12,,200000,0,0,115000,0,2,2,3
"H38501-04-01",1,"P38501-001",1,"Retail sale of food items in the market",4781,1,1,,,"P38501-001",,4,2013,4,2,"P38501-001",,2,,"P38501-001",,,,,6,1,180000,0,0,100000,2000,2,2,3
"H38502-04-01",1,"P38502-001",1,"sells grass for thatching",4799,1,1,,,"P38502-001",,99,1996,8,1,"P38502-001",,2,,"P38502-001",,,,,12,,72700,0,0,0,0,2,2,3
"H38503-04-01",1,"P38503-001",1,"selling food crops",4781,1,1,,,"P38503-001",,99,1993,4,2,"P38503-001",,1,7,"P38503-001",,,,,12,,36000,12,0,300000,12000,2,2,3
"H38504-04-01",1,"P38504-002",1,"Retail sale of charcoal",4799,1,1,,,"P38504-002","P38504-001",7,2012,7,2,"P38504-002","P38504-001",2,,"P38504-002",,,,,12,,112000,0,0,48000,40000,2,2,3
"H38505-04-01",1,"P38505-002",1,"sells clothes in market",4782,1,1,,,"P38505-001",,99,1988,7,2,"P38505-001",,1,7,"P38505-001",,,,,12,,250000,0,0,200000,0,2,2,3
"H38506-04-01",1,"P38506-001",1,"sells cassava and sweet potatoes in market",4781,1,1,,,"P38506-002",,99,2007,4,2,"P38506-002",,2,,"P38506-002",,,,,12,,270000,0,0,180000,0,2,2,3
"H38507-04-01",1,"P38507-002",1,"making pots for sale",2399,1,1,,,"P38507-002","P38507-001",1,1998,6,2,"P38507-002","P38507-001",1,7,"P38507-002","P38507-005",,,,12,,70000,0,0,25000,5000,2,2,3
"H38508-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H38509-04-01",1,"P38509-001",1,"selling foodstuff",4781,1,1,,,"P38509-001",,99,1990,4,2,"P38509-001",,2,,"P38509-001",,,,,12,,450000,0,0,300000,7500,2,2,3
"H38510-04-01",1,"P38510-001",2,"selling potatoes",4781,1,1,,,"P38510-001",,2,2012,4,2,"P38510-001",,2,,"P38510-002",,,,,12,,540000,0,0,360000,0,2,2,3
"H38510-04-01",1,"P38510-001",1,"selling glass ware",4789,1,1,,,"P38510-001",,1,2006,7,2,"P38510-001",,1,7,"P38510-001",,,,,12,,650000,1,24000,450000,20000,2,2,3
"H38601-04-01",1,"P38601-001",1,"makes and sells local brew",1101,1,1,,,"P38601-001",,99,1983,7,5,"P38601-001",,1,7,"P38601-001","P38601-002",,,,12,,62000,0,0,32000,6000,2,2,3
"H38602-04-01",1,"P38602-002",1,"makes and sells local brew",1101,1,1,,,"P38602-002",,99,1988,2,5,"P38602-002",,1,7,"P38602-002",,,,,12,,104000,0,0,32000,12000,2,2,3
"H38603-04-01",1,"P38603-002",1,"making yeast",2029,1,1,,,"P38603-001",,4,2006,2,2,"P38603-002",,2,,"P38603-002",,,,,12,,44000,0,0,16000,0,2,2,3
"H38604-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H38605-04-01",1,"P38605-001",1,"brewing of local drink",1101,1,1,,,"P38605-001",,4,2001,2,2,"P38605-001",,2,,"P38605-001",,,,,12,,105000,0,0,70000,3000,2,2,3
"H38606-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H38607-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
