"HHID","h15eq2","h15eq2_1","h15eq3","wgt_X"
"H08102-04-03",807,1,50000,465.4111328125
"H08102-04-04",806,1,50000,465.4111328125
"H08102-04-04",807,1,20000,465.4111328125
"H08102-04-06",806,1,40000,465.4111328125
"H08103-04-01",806,1,80000,2792.466796875
"H08107-04-01",806,1,30000,2792.466796875
"H08107-04-01",807,1,25000,2792.466796875
"H08110-04-01",806,1,2000000,2792.466796875
"H08114-04-01",806,1,1200000,2792.466796875
"H08114-04-01",807,1,5000,2792.466796875
"H08114-04-01",808,1,10000,2792.466796875
"H08302-04-01",806,1,300000,698.11669921875
"H08302-04-01",807,1,150000,698.11669921875
"H08302-04-01",808,1,60000,698.11669921875
"H08302-04-01",809,1,600000,698.11669921875
"H08302-04-02",807,1,50000,698.11669921875
"H08302-04-04",806,1,200000,698.11669921875
"H08303-04-01",807,1,25000,2792.466796875
"H08303-04-01",809,1,633600,2792.466796875
"H08304-04-01",807,1,30000,2792.466796875
"H08304-04-01",809,1,288000,2792.466796875
"H08305-04-01",807,1,3000,2792.466796875
"H08306-04-01",804,1,5000,2792.466796875
"H08306-04-01",806,1,120000,2792.466796875
"H08306-04-01",807,1,20000,2792.466796875
"H08309-04-01",807,1,15000,2792.466796875
"H08310-04-01",807,1,5000,2792.466796875
"H08402-04-01",807,1,20000,2792.466796875
"H08404-04-01",807,1,30000,2792.466796875
"H08405-04-01",806,1,150000,2792.466796875
"H08405-04-01",807,1,100000,2792.466796875
"H08406-04-01",803,1,24000,698.11669921875
"H08406-04-01",807,1,25000,698.11669921875
"H08406-04-02",803,1,25000,698.11669921875
"H08406-04-02",807,1,20000,698.11669921875
"H08406-04-04",807,1,10000,698.11669921875
"H08406-04-04",808,1,100000,698.11669921875
"H08408-04-01",806,1,8000,2792.466796875
"H08408-04-01",807,1,5000,2792.466796875
"H08409-04-01",806,1,30000,1396.2333984375
"H08409-04-01",807,1,500000,1396.2333984375
"H08409-04-02",803,1,25000,1396.2333984375
"H08409-04-02",807,1,40000,1396.2333984375
"H08410-04-01",806,1,60000,2792.466796875
"H08410-04-01",807,1,50000,2792.466796875
"H08411-04-01",806,1,25000,2792.466796875
"H08411-04-01",807,1,10000,2792.466796875
"H08503-04-01",806,1,10000,930.822265625
"H08503-04-01",807,1,50000,930.822265625
"H08503-04-02",806,1,50000,930.822265625
"H08503-04-02",807,1,20000,930.822265625
"H08503-04-03",807,1,10000,930.822265625
"H08504-04-01",807,1,15000,2792.466796875
"H08505-04-01",807,1,20000,2792.466796875
"H08505-04-01",809,1,60000,2792.466796875
"H08506-04-01",807,1,25000,2792.466796875
"H08506-04-01",809,1,24000,2792.466796875
"H08509-04-01",807,1,50000,2792.466796875
"H08510-04-01",809,1,120000,1396.2333984375
"H08510-04-02",804,1,3000,1396.2333984375
"H08510-04-02",806,1,900000,1396.2333984375
"H08602-04-01",806,1,30000,930.822265625
"H08602-04-01",807,1,30000,930.822265625
"H08602-04-02",803,1,24000,930.822265625
"H08602-04-02",807,1,15000,930.822265625
"H08602-04-03",806,1,40000,930.822265625
"H08603-04-01",806,1,50000,1396.23327636719
"H08605-04-01",806,1,200000,2792.46655273438
"H08605-04-01",807,1,150000,2792.46655273438
"H08609-04-01",807,1,10000,2792.46655273438
"H08611-04-01",806,1,20000,2792.46655273438
"H08701-04-01",806,1,100000,2792.466796875
"H08701-04-01",807,1,50000,2792.466796875
"H08704-04-01",806,1,1000000,2792.466796875
"H08704-04-01",807,1,20000,2792.466796875
"H08707-04-01",806,1,100000,2792.466796875
"H08707-04-01",807,1,50000,2792.466796875
"H08708-04-02",806,1,80000,1396.2333984375
"H08709-04-01",806,1,50000,2792.466796875
"H08710-04-01",806,1,150000,2792.466796875
"H08710-04-01",807,1,50000,2792.466796875
"H08801-04-01",806,1,200000,2792.466796875
"H08801-04-01",807,1,140000,2792.466796875
"H08802-04-01",806,1,50000,1396.2333984375
"H08802-04-01",807,1,30000,1396.2333984375
"H08802-04-02",806,1,30000,1396.2333984375
"H08802-04-02",807,1,20000,1396.2333984375
"H08803-04-01",807,1,17000,2792.466796875
"H08804-04-01",807,1,15000,2792.466796875
"H08806-04-01",806,1,4500,2792.466796875
"H08806-04-01",807,1,2500,2792.466796875
"H08810-04-01",806,1,5000,2792.466796875
"H08810-04-01",807,1,10000,2792.466796875
"H08811-04-01",806,1,50000,2792.466796875
"H08811-04-01",807,1,150000,2792.466796875
"H08811-04-01",808,1,18000,2792.466796875
"H09001-04-01",803,1,15000,1275.85070800781
"H09001-04-01",806,1,50000,1275.85070800781
"H09001-04-01",807,1,70000,1275.85070800781
"H09001-04-02",806,1,40000,1275.85070800781
"H09001-04-02",807,1,25000,1275.85070800781
"H09003-04-01",807,1,24000,2551.70141601563
"H09004-04-01",807,1,20000,1275.85070800781
"H09004-04-02",806,1,160000,1275.85070800781
"H09004-04-02",807,1,50000,1275.85070800781
"H09005-04-01",806,1,30000,2551.70141601563
"H09007-04-01",806,1,100000,2551.70141601563
"H09007-04-01",808,1,1440000,2551.70141601563
"H09008-04-01",806,1,100000,1275.85070800781
"H09008-04-01",807,1,50000,1275.85070800781
"H09008-04-01",808,1,100000,1275.85070800781
"H09008-04-02",806,1,50000,1275.85070800781
"H09008-04-02",807,1,20000,1275.85070800781
"H09009-04-01",807,1,15000,1275.85070800781
"H09009-04-02",806,1,350000,1275.85070800781
"H09009-04-02",809,1,720000,1275.85070800781
"H09010-04-01",807,1,5000,2551.70141601563
"H09011-04-01",806,1,100000,2551.70141601563
"H09011-04-01",807,1,25000,2551.70141601563
"H09101-04-01",806,1,7000,2551.701171875
"H09102-04-01",803,1,39000,2551.701171875
"H09102-04-01",807,1,35000,2551.701171875
"H09103-04-01",806,1,60000,2551.701171875
"H09105-04-01",806,1,50000,1275.8505859375
"H09108-04-01",806,1,100000,2551.701171875
"H09108-04-01",807,1,200000,2551.701171875
"H09109-04-01",806,1,15000,2551.701171875
"H09110-04-01",805,1,240000,2551.701171875
"H09110-04-01",806,1,50000,2551.701171875
"H09110-04-01",807,1,50000,2551.701171875
"H09111-04-01",807,1,10000,2551.701171875
"H09203-04-01",809,1,50000,2551.70141601563
"H09206-04-01",807,1,50000,2551.70141601563
"H09208-04-01",806,1,120000,2551.70141601563
"H09208-04-01",807,1,20000,2551.70141601563
"H09403-04-02",806,1,200000,1396.2333984375
"H09403-04-02",807,1,20000,1396.2333984375
"H09410-04-01",806,1,30000,2792.466796875
"H09410-04-01",807,1,80000,2792.466796875
"H09510-04-01",806,1,30000,2792.466796875
"H09510-04-01",807,1,10000,2792.466796875
"H09513-04-01",806,1,500000,2792.466796875
"H09605-04-01",806,1,100000,2792.466796875
"H09608-04-01",809,1,50000,2792.466796875
"H09610-04-01",806,1,1000000,2792.466796875
"H09610-04-01",807,1,150000,2792.466796875
"H09613-04-01",806,1,300000,2792.466796875
"H09701-04-01",806,1,24000,2792.466796875
"H09705-04-01",801,1,0,2792.466796875
"H09705-04-01",803,1,340000,2792.466796875
"H09705-04-01",804,1,0,2792.466796875
"H09705-04-01",806,1,250000,2792.466796875
"H09705-04-01",807,1,200000,2792.466796875
"H09710-04-01",807,1,20000,2792.466796875
"H09901-04-01",806,1,150000,2792.466796875
"H09902-04-01",807,1,12000,2792.466796875
"H09905-04-01",806,1,150000,2792.466796875
"H09905-04-01",807,1,5000,2792.466796875
"H09905-04-01",809,1,15000,2792.466796875
"H09906-04-01",806,1,300000,2792.466796875
"H09908-04-01",806,1,30000,2792.466796875
"H09908-04-01",807,1,10000,2792.466796875
"H09908-04-01",809,1,252000,2792.466796875
"H10002-04-01",807,1,30000,2792.466796875
