"District_Name","SubCounty","Parish","Villagecode","Community_groups_ID","C6BQ1","C6BQ1_Other","C6BQ2","C6BQ3","C6BQ4","C6BQ5","End_commgroup","Survey_Visit","ComOrg_Response","Reason_Comm_Org_Not_Done"
102,102105,10210515,1021051506,301,2,,,,,,,2,3,"community uses BUTABIKA HOSPITAL"
102,102105,10210515,1021051506,302,2,,,,,,,2,3,"community uses BUTABIKA HOSPITAL"
102,102105,10210515,1021051506,303,2,,,,,,,2,3,"community uses BUTABIKA HOSPITAL"
102,102105,10210515,1021051506,304,2,,,,,,,2,3,"community uses BUTABIKA HOSPITAL"
102,102105,10210515,1021051506,305,2,,,,,,,2,3,"community uses BUTABIKA HOSPITAL"
102,102105,10210515,1021051506,306,2,,,,,,,2,3,"community uses BUTABIKA HOSPITAL"
102,102105,10210515,1021051506,307,2,,,,,,,2,3,"community uses BUTABIKA HOSPITAL"
102,102105,10210515,1021051506,308,2,,,,,,,2,3,"community uses BUTABIKA HOSPITAL"
102,102105,10210515,1021051506,309,2,,,,,,,2,3,"community uses BUTABIKA HOSPITAL"
102,102105,10210515,1021051506,310,2,,,,,,,2,3,"community uses BUTABIKA HOSPITAL"
