"HHID","PID","T6FQ02a","T6FQ02b","wgt_X"
"H02304-04-01","P02304-004",1,6,1874.79821777344
"H02304-04-01","P02304-001",2,,1874.79821777344
"H02305-04-01","P02305-004",2,,1874.79821777344
"H02305-04-01","P02305-001",2,,1874.79821777344
"H02305-04-01","P02305-002",1,6,1874.79821777344
"H02305-04-01","P02305-003",1,6,1874.79821777344
"H02310-04-01","P02310-005",2,,1874.79821777344
"H02310-04-01","P02310-002",2,,1874.79821777344
"H02310-04-01","P02310-003",2,,1874.79821777344
"H02310-04-01","P02310-001",2,,1874.79821777344
"H02401-04-01","P02401-001",2,,1874.79821777344
"H02407-04-01","P02407-001",2,,1874.79821777344
"H02407-04-01","P02407-004",2,,1874.79821777344
"H02409-04-01","P02409-001",2,,1874.79821777344
"H02412-04-01","P02412-002",2,,1874.79821777344
"H02412-04-01","P02412-003",2,,1874.79821777344
"H02412-04-01","P02412-001",1,7,1874.79821777344
"H02412-04-01","P02412-007",2,,1874.79821777344
"H02412-04-01","P02412-004",2,,1874.79821777344
"H02412-04-01","P02412-006",1,7,1874.79821777344
"H02412-04-01","P02412-005",2,,1874.79821777344
"H02507-04-01","P02507-002",2,,1874.79809570313
"H02507-04-01","P02507-001",1,5,1874.79809570313
"H02507-04-01","P02507-003",1,5,1874.79809570313
"H02507-04-01","P02507-006",2,,1874.79809570313
"H02507-04-01","P02507-005",1,5,1874.79809570313
"H02507-04-01","P02507-004",1,5,1874.79809570313
"H02601-04-01","P02601-006",2,,937.399108886719
"H02601-04-02","P02601-002",1,6,937.399108886719
"H02601-04-02","P02601-010",2,,937.399108886719
"H02601-04-02","P02601-001",1,6,937.399108886719
"H02601-04-02","P02601-007",2,,937.399108886719
"H02601-04-02","P02601-009",2,,937.399108886719
"H02601-04-02","P02601-012",1,6,937.399108886719
"H02601-04-02","P02601-005",1,3,937.399108886719
"H02601-04-02","P02601-004",1,6,937.399108886719
"H02601-04-02","P02601-008",1,6,937.399108886719
"H02602-04-01","P02602-001",2,,1874.79821777344
"H02602-04-01","P02602-023",2,,1874.79821777344
"H02602-04-01","P02602-011",2,,1874.79821777344
"H02602-04-01","P02602-003",2,,1874.79821777344
"H02602-04-01","P02602-008",2,,1874.79821777344
"H02602-04-01","P02602-006",2,,1874.79821777344
"H02602-04-01","P02602-009",2,,1874.79821777344
"H02602-04-01","P02602-010",1,2,1874.79821777344
"H02602-04-01","P02602-005",1,2,1874.79821777344
"H02602-04-01","P02602-002",2,,1874.79821777344
"H02602-04-01","P02602-007",2,,1874.79821777344
"H02608-04-01","P02608-010",2,,937.399108886719
"H02608-04-01","P02608-001",2,,937.399108886719
"H02608-04-01","P02608-009",2,,937.399108886719
"H02608-04-01","P02608-003",2,,937.399108886719
"H02608-04-02","P02608-011",1,4,937.399108886719
"H02608-04-02","P02608-004",1,5,937.399108886719
"H02608-04-02","P02608-012",2,,937.399108886719
"H02609-04-01","P02609-004",,,1874.79821777344
"H02609-04-01","P02609-002",2,,1874.79821777344
"H02609-04-01","P02609-001",2,,1874.79821777344
"H02703-04-02","P02703-001",1,21,1874.79821777344
"H02703-04-02","P02703-016",2,,1874.79821777344
"H02703-04-02","P02703-018",2,,1874.79821777344
"H02703-04-02","P02703-017",2,,1874.79821777344
"H02705-04-01","P02705-008",2,,937.399108886719
"H02705-04-01","P02705-009",1,14,937.399108886719
"H02705-04-01","P02705-001",1,14,937.399108886719
"H02705-04-02","P02705-003",2,,937.399108886719
