"HHID","h17q10b","h17q10a","wgt_X"
"H39905-04-01",6,1,1611.22216796875
"H39905-04-01",7,1,1611.22216796875
"H39905-04-01",8,2,1611.22216796875
"H39905-04-01",9,2,1611.22216796875
"H39905-04-01",10,2,1611.22216796875
"H39905-04-01",11,2,1611.22216796875
"H39905-04-01",12,2,1611.22216796875
"H39906-04-01",1,2,1611.22216796875
"H39906-04-01",2,2,1611.22216796875
"H39906-04-01",3,2,1611.22216796875
"H39906-04-01",4,2,1611.22216796875
"H39906-04-01",5,2,1611.22216796875
"H39906-04-01",6,1,1611.22216796875
"H39906-04-01",7,1,1611.22216796875
"H39906-04-01",8,2,1611.22216796875
"H39906-04-01",9,2,1611.22216796875
"H39906-04-01",10,2,1611.22216796875
"H39906-04-01",11,2,1611.22216796875
"H39906-04-01",12,2,1611.22216796875
"H39907-04-01",1,2,1611.22216796875
"H39907-04-01",2,2,1611.22216796875
"H39907-04-01",3,2,1611.22216796875
"H39907-04-01",4,2,1611.22216796875
"H39907-04-01",5,2,1611.22216796875
"H39907-04-01",6,2,1611.22216796875
"H39907-04-01",7,2,1611.22216796875
"H39907-04-01",8,1,1611.22216796875
"H39907-04-01",9,2,1611.22216796875
"H39907-04-01",10,2,1611.22216796875
"H39907-04-01",11,2,1611.22216796875
"H39907-04-01",12,2,1611.22216796875
"H39908-04-01",1,2,1611.22216796875
"H39908-04-01",2,2,1611.22216796875
"H39908-04-01",3,2,1611.22216796875
"H39908-04-01",4,2,1611.22216796875
"H39908-04-01",5,2,1611.22216796875
"H39908-04-01",6,1,1611.22216796875
"H39908-04-01",7,1,1611.22216796875
"H39908-04-01",8,2,1611.22216796875
"H39908-04-01",9,2,1611.22216796875
"H39908-04-01",10,2,1611.22216796875
"H39908-04-01",11,2,1611.22216796875
"H39908-04-01",12,2,1611.22216796875
"H39909-04-01",1,2,1611.22216796875
"H39909-04-01",2,2,1611.22216796875
"H39909-04-01",3,2,1611.22216796875
"H39909-04-01",4,2,1611.22216796875
"H39909-04-01",5,2,1611.22216796875
"H39909-04-01",6,2,1611.22216796875
"H39909-04-01",7,2,1611.22216796875
"H39909-04-01",8,1,1611.22216796875
"H39909-04-01",9,2,1611.22216796875
"H39909-04-01",10,2,1611.22216796875
"H39909-04-01",11,2,1611.22216796875
"H39909-04-01",12,2,1611.22216796875
"H40003-04-01",1,2,1763.8642578125
"H40003-04-01",2,2,1763.8642578125
"H40003-04-01",3,1,1763.8642578125
"H40003-04-01",4,1,1763.8642578125
"H40003-04-01",5,1,1763.8642578125
"H40003-04-01",6,2,1763.8642578125
"H40003-04-01",7,2,1763.8642578125
"H40003-04-01",8,2,1763.8642578125
"H40003-04-01",9,2,1763.8642578125
"H40003-04-01",10,2,1763.8642578125
"H40003-04-01",11,2,1763.8642578125
"H40003-04-01",12,2,1763.8642578125
"H40008-04-01",1,2,1763.8642578125
"H40008-04-01",2,2,1763.8642578125
"H40008-04-01",3,2,1763.8642578125
"H40008-04-01",4,2,1763.8642578125
"H40008-04-01",5,2,1763.8642578125
"H40008-04-01",6,1,1763.8642578125
"H40008-04-01",7,1,1763.8642578125
"H40008-04-01",8,2,1763.8642578125
"H40008-04-01",9,2,1763.8642578125
"H40008-04-01",10,2,1763.8642578125
"H40008-04-01",11,2,1763.8642578125
"H40008-04-01",12,2,1763.8642578125
"H40010-04-01",1,2,1763.8642578125
"H40010-04-01",2,2,1763.8642578125
"H40010-04-01",3,2,1763.8642578125
"H40010-04-01",4,2,1763.8642578125
"H40010-04-01",5,1,1763.8642578125
"H40010-04-01",6,1,1763.8642578125
"H40010-04-01",7,1,1763.8642578125
"H40010-04-01",8,2,1763.8642578125
"H40010-04-01",9,2,1763.8642578125
"H40010-04-01",10,2,1763.8642578125
"H40010-04-01",11,2,1763.8642578125
"H40010-04-01",12,2,1763.8642578125
"H40102-04-01",1,2,4319.05126953125
"H40102-04-01",2,2,4319.05126953125
"H40102-04-01",3,2,4319.05126953125
"H40102-04-01",4,2,4319.05126953125
"H40102-04-01",5,1,4319.05126953125
"H40102-04-01",6,1,4319.05126953125
"H40102-04-01",7,1,4319.05126953125
"H40102-04-01",8,2,4319.05126953125
"H40102-04-01",9,2,4319.05126953125
"H40102-04-01",10,2,4319.05126953125
"H40102-04-01",11,2,4319.05126953125
"H40102-04-01",12,2,4319.05126953125
"H40103-04-01",1,2,4319.05126953125
"H40103-04-01",2,2,4319.05126953125
"H40103-04-01",3,1,4319.05126953125
"H40103-04-01",4,1,4319.05126953125
"H40103-04-01",5,1,4319.05126953125
"H40103-04-01",6,2,4319.05126953125
"H40103-04-01",7,2,4319.05126953125
"H40103-04-01",8,2,4319.05126953125
"H40103-04-01",9,2,4319.05126953125
"H40103-04-01",10,2,4319.05126953125
"H40103-04-01",11,2,4319.05126953125
"H40103-04-01",12,2,4319.05126953125
"H40105-04-01",1,2,4319.05126953125
"H40105-04-01",2,2,4319.05126953125
"H40105-04-01",3,2,4319.05126953125
"H40105-04-01",4,2,4319.05126953125
"H40105-04-01",5,2,4319.05126953125
"H40105-04-01",6,1,4319.05126953125
"H40105-04-01",7,2,4319.05126953125
"H40105-04-01",8,2,4319.05126953125
"H40105-04-01",9,2,4319.05126953125
"H40105-04-01",10,2,4319.05126953125
"H40105-04-01",11,2,4319.05126953125
"H40105-04-01",12,2,4319.05126953125
"H40110-04-01",1,1,4319.05126953125
"H40110-04-01",2,1,4319.05126953125
"H40110-04-01",3,1,4319.05126953125
"H40110-04-01",4,2,4319.05126953125
"H40110-04-01",5,2,4319.05126953125
"H40110-04-01",6,2,4319.05126953125
"H40110-04-01",7,2,4319.05126953125
"H40110-04-01",8,2,4319.05126953125
"H40110-04-01",9,2,4319.05126953125
"H40110-04-01",10,2,4319.05126953125
"H40110-04-01",11,2,4319.05126953125
"H40110-04-01",12,2,4319.05126953125
"H40201-04-01",1,2,3219.75244140625
"H40201-04-01",2,2,3219.75244140625
"H40201-04-01",3,2,3219.75244140625
"H40201-04-01",4,1,3219.75244140625
"H40201-04-01",5,1,3219.75244140625
"H40201-04-01",6,2,3219.75244140625
"H40201-04-01",7,2,3219.75244140625
"H40201-04-01",8,2,3219.75244140625
"H40201-04-01",9,2,3219.75244140625
"H40201-04-01",10,2,3219.75244140625
"H40201-04-01",11,2,3219.75244140625
"H40201-04-01",12,2,3219.75244140625
"H40202-04-01",1,2,3219.75244140625
"H40202-04-01",2,2,3219.75244140625
